sample_id,title,rouge1_f1,rouge2_f1,rougeL_f1,rouge1_precision,rouge1_recall,rouge2_precision,rouge2_recall,rougeL_precision,rougeL_recall,bertscore_precision,bertscore_recall,bertscore_f1,prediction_length,reference_length,compression_ratio
22axpf7xhjwrzdzw7w77yc7mukreba37,Multiple hypotheses testing in functional neuroimaging applications,0.2769,0.0173,0.1261,0.393,0.2137,0.0246,0.0134,0.1789,0.0973,0.7865,0.7937,0.7901,2206,2982,0.74
22gipsfuw7sfapbpjtl3jg4vankygwyk,"Wordnet as a crowd source for untreated languages, concepts, and data elements",0.2894,0.0313,0.1191,0.2458,0.3517,0.0266,0.0381,0.1012,0.1448,0.7806,0.803,0.7917,3038,1599,1.9
23g3hw5ev4e6aedpxz4bioljs4hbznyl,Variational Inference over Combinatorial Spaces,0.2921,0.0714,0.1573,0.1902,0.629,0.0465,0.1545,0.1024,0.3387,0.7866,0.835,0.8101,3075,730,4.21
23lodsglh6szbglcsf7majriphobtjct,"X, Y, Zebra",0.2543,0.0348,0.1243,0.1943,0.3682,0.0265,0.0504,0.0949,0.1799,0.7536,0.8013,0.7768,3413,1233,2.77
24xldsebz466gltqlhn3irrjjxx73px7,Creating dynamic online courses,0.0968,0.018,0.0717,0.0539,0.4737,0.01,0.0893,0.0399,0.3509,0.7544,0.8253,0.7883,3944,298,13.23
25yl6k2kfhphvxrux5rf3x3ntotgs2fs,Diffusion and Cascading Behaviour in Networks,0.1346,0.0231,0.0952,0.0792,0.4505,0.0135,0.0778,0.056,0.3187,0.7868,0.8249,0.8054,3576,494,7.24
26g6psjua4czlgwv4ortua7nymlqf3bg,Scalable Graph Clustering Using Stochastic Flows: Applications to Community Discovery,0.3311,0.0837,0.1588,0.5516,0.2365,0.1396,0.0597,0.2646,0.1135,0.8451,0.8057,0.825,1565,2796,0.56
26hv3knh7kjyx3thwqclhttqk2scnisg,Net2Net: Accelerating Learning via Knowledge Transfer,0.3866,0.0513,0.1342,0.3656,0.4102,0.0485,0.0544,0.1269,0.1424,0.8235,0.8215,0.8225,2387,1618,1.48
2boy4yyba7e6ktwznf6yctgecrfrxdoi,Knowledge Graph Embedding for Ecotoxicological Effect Prediction,0.2199,0.0514,0.1176,0.1383,0.5375,0.0323,0.1266,0.074,0.2875,0.8155,0.8463,0.8306,2255,479,4.71
2bponx5e4o2d6wbtf2yicgmmw2suisje,Scaling AI Through Multi-Agent Organizations,0.2353,0.0358,0.1248,0.1486,0.5641,0.0226,0.0862,0.0788,0.2991,0.8001,0.8279,0.8137,3337,612,5.45
2c5fir3apwpabzamronmsk3qp4efoevw,Information Geometry and Its Applications,0.1842,0.0308,0.1009,0.1132,0.4941,0.0189,0.0833,0.062,0.2706,0.7964,0.8316,0.8137,2796,463,6.04
2cd2bvg4pv3qnvhqdhna6nhovc3g5j5r,A Translation from Logic to English with Dynamic Semantics,0.35,0.1035,0.1333,0.6195,0.2439,0.1834,0.0721,0.236,0.0929,0.8265,0.8158,0.8211,2497,4866,0.51
2dlsaebstb43xy3e2p3o4ha27jh7echd,My 10 Year Research Vision: Face Analysis Systems,0.4737,0.1192,0.1467,0.5664,0.4072,0.1425,0.1024,0.1754,0.1261,0.832,0.8301,0.831,3293,3754,0.88
2e7hdruw3sdhbfphc4ohhqp5vcnyznqq,A Scalable Pattern Mining Approach to Web Graph Compression with Communities,0.3477,0.0672,0.1563,0.346,0.3494,0.0669,0.0675,0.1556,0.1571,0.8276,0.8202,0.8239,2226,1647,1.35
2eauxz26ijalx6qv5tgev2zxkxa5i5xb,Welcome statements given by the representatives,0.2775,0.0048,0.134,0.2468,0.3169,0.0043,0.0055,0.1191,0.153,0.8164,0.8188,0.8176,1778,1082,1.64
2gt4gftxx46oqxxamujowwnn3jsbbfgv,High-Performance Computing in the Time of Uncertainty,0.3642,0.0363,0.1335,0.4432,0.3091,0.0442,0.0308,0.1624,0.1133,0.8148,0.8113,0.813,3194,3478,0.92
2hjd5t2idv3ksw7zemjv2lcs5nvu3xef,Six Thinking Hats system,0.2806,0.0433,0.1187,0.2114,0.4171,0.0326,0.0645,0.0894,0.1765,0.8057,0.817,0.8113,2572,944,2.72
2hylsmo5vsxffdvwyowo2wnetujwvwus,Learning Representations for Automatic Colorization,0.3339,0.1009,0.1975,0.2493,0.5054,0.0753,0.153,0.1475,0.2989,0.8312,0.8543,0.8426,2667,1069,2.49
